CODIGO;NOMBRE;ACTIVA;MTP;MTC
9110;CERFOGRES REVESTIMIENTO;T;66;66
9111;TAUGRES REVESTIMIENTO;T;66;66
9112;VIVES REVESTIMIENTO;T;66;66
9116;CEVICA;T;66;66
9117;CERAMICAS APEADERO;T;66;66
9118;APLICACIONES CCAS;T;75;75
9120;MAINZU;T;66;66
9121;EL BARCO;T;66;66
9128;CERAMICA CAS;T;66;66
9129;VITORIO&LUCCHINO AZULIBER;T;66;66
9130;RIBESALBES/ELITE/NOMDEDEU/CERPA/CERPA;T;70;70
9131;COMPLEMENTTO;T;66;66
9132;KERAMEX;T;66;66
9133;BALLESMAR;T;85;77
9138;LO ARTESANO;T;100;82
9201;PASAMANOS;T;100;92
9202;ESCUADRAS;T;100;92
9203;VIERTEAGUAS;T;100;92
9204;BALDOSAS VIDRIADAS;T;70;70
9205;CARTABONES;T;100;92
9206;PIEZAS SUPLEMENTARIAS;T;100;92
9207;PIEZAS DECORATIVAS;T;100;92
9209;VIDRIADO COROMINA Y CIA;T;100;90
9215;MOSAICS TORRA;T;60;50
9301;UNDEFASA PAVIMENTO;T;66;66
9302;EXAGRES;T;66;66
9303;METROPOL;T;66;66
9304;ART&FIRE;T;66;66
9305;KERAMIA CERAMICA;T;90;80
9306;ABONIR PORCELANICO;T;66;66
9307;GRESAN;T;66;66
9308;FILA IND.QUIMICA;T;55;55
9309;CERACASA;T;66;66
9310;PAVIMENTO PORCELANATTO;T;66;66
9311;KERACOM;T;66;66
9312;SALONI;T;66;66
9313;DURSTONE;T;66;66
9314;MARGRES PORCELANICO;T;66;66
9315;PAMESA ;T;62;62
9316;ALEA METAL EXPERIENCE;T;66;66
9317;MARAZZI ;T;64;64
9318;INALCO;T;66;66
9319;TAU (SEGONA CALITAT);T;200;200
9320;TAU PORCELANICO;T;66;66
9321;TAU PORCELANICO;T;66;66
9322;TAU PAVIMENTO RUSTICO;T;66;66
9323;TAU PAVIMENTO;T;66;66
9324;TAU SLIM 6 mm;T;66;66
9325;VIVES PORCELANICO;T;66;66
9326;GRESPANIA;T;66;66
9327;CERFOGRES PAVIMENTO;T;66;66
9328;VIVES PAVIMENTO;T;66;66
9329;GRES DE ARAGON;T;66;66
9330;GRECOGRES;T;66;66
9331;GRES DE BRANCOS;T;66;66
9332;COLORKER PORCELANICO;T;66;66
9333;COLORKER PAVIMENTO;T;66;66
9334;LEONARDO CERAMICA;T;75;75
9335;DIAGO PAVIMENTO;T;66;66
9336;GRES SAFONT;T;66;66
9337;GRES DE LA MANCHA;T;66;66
9338;GRES-CID;T;75;62
9339;PLAZA PAVIMENTO;T;100;80
9340;NATUCER REVESTIMIENT;T;66;66
9341;NATUCER;T;66;66
9342;OSET;T;66;66
9343;BESTILE;T;66;66
9344;ISLAND STONE;T;85;70
9345;SQUAMERS;T;70;70
9346;TOGAMA/ONIX/ALTTOGLASS/BISAZZA;T;85;70
9347;EZARRI;T;77;77
9348;HISBALIT;T;70;70
9349;VENETO CERAMICA;T;85;66
9350;CIFRE;T;66;66
9351;GRES SURTIDOS;T;66;66
