CODIGO;NOMBRE;ACTIVA;MTP;MTC
3910;AFFINY;T;75;60
3911;NOVUM;T;66,66;55
3912;DIBANY;T;75;60
3913;VERGLAS;T;66,66;55
3914;SOLID THEION;T;81,81;55
3915;MUEBLES MEZQUITA;T;66,66;55
3916;MARMOLES A MEDIDA;T;66,66;50
3917;SANCHIS;T;66,66;55
3918;MUEBLES ARTELINEA;T;66,66;55
3919;CORIAN;T;66,66;55
3920;PROJECTE NOAH ;T;66,66;55
3921;STYLO MUEBLES;T;66,66;55
3922;CAMPOY;T;66,66;55
3923;MUEBLES ARTYSAN;T;66,66;55
3924;DECOSAN;T;75;60
3925;ARREDO BAGNO;T;66,66;52
3926;J. LAZARO;T;66,66;55
3927;BAYRO;T;66,66;55
3928;MUEBLES VARIOS;T;66,66;55
3929;STOCCO MUEBLES;T;100;80
3930;SLORA;T;66,66;55
3931;CLODA;T;66,66;55
3932;VIDREBANY;T;66,66;55
3933;MUEBLES GEMINIS;T;66,66;55
3934;CREACIONES DEL ESPINO;T;66,66;55
3935;OMEYABATH;T;66,66;55
3936;DIBAYCO;T;66,66;55
3937;NO-FER;T;66,66;55
3938;DYMOMEGA;T;80;55
3939;HOTELBANY COMERCIAL;T;66,6;55
3940;SERGADI;T;60;51
3941;WINDISCH;T;60;52
3942;TRITURADORES SFA;T;66,66;52
3943;ESPEJOS DILER INTERNACIONAL;T;66,66;52
3944;ACC. TODA/DEBA;T;66,66;52
3945;BATHANDKITCHEN;T;66,66;51
3946;SANEUX ;T;66,66;52
3947;ACCESORIOS TODALUX;T;66,66;52
3948;ACC.SANILUZ KAURI;T;66,66;52
3949;DESIGN KOH-I-NOOR;T;66,66;52
3950;GLOBALBANY;T;66,66;52
3951;BAICO ILUMINACION;T;66,66;52
3952;COYCAMA;T;66,66;52
3953;CICSA;T;66,66;52
3954;UNIBAÑO;T;66,66;52
3955;KOIBATH;T;100;81,81
3956;LLINAS;T;55;52
3957;EXLUM;T;66,66;52
3976;ACCES.BAÑO DISEÑO;T;66,66;52
3977;ACCESORIOS CROMADOS MODERNOS;T;66,66;52
3978;ACC.THAMESIS LORD T.;T;66,66;52
3979;ACCESORIOS GALES;T;66,66;52
3980;LORD T.STUDIO;T;66,66;52
3981;VANDISS;T;66,66;52
3982;BEMEDE;T;66,66;52
3988;PLASTISAN;T;81,81;70
3989;MEDICLINICS;T;66,66;55
3990;EURYNOX;T;66,66;52
3991;SOLFRESS;T;81,81;70
3992;WENKO ;T;81,81;70
3993;TIMBLAU;T;66,66;52
3994;COSMIC;T;66,66;52
3995;ACCESORIOS POM D'OR;T;66,66;52
3996;ACCESORIOS CONTROLOFFICE;T;66,66;52
3997;ACCESORIOS AQUAGRIF;T;150;110
3998;ACCESORIOS ROCA;T;42,85;36
3999;ROCA MUEBLES Y RADIADORES;T;42,85;36
4000;PERFILES Y CANTONERAS EMAC;T;60;52
4001;PERFILES Y CANTONERAS ROMOPLAST;T;62;54
4002;PARQUET FLINT DESCUBRA;T;60;51
4003;PARQUET ARKOMEX;T;50;42
4004;PARQUET LAMINAT DESCUBRA;T;50;41
4005;PARQUET LAMINAT ROOMS;T;50;41
4006;TARIMA TECNO TIMBER TECH-LAND DECK;T;50;41
4007;PARQUET MEISTER;T;60;52
4008;ANTICATTO - FLAMINGO DESCUBRA;T;55;45
4009;MONTATGES PARKET;T;35;35
4010;PARQUET FLOTANTE FL EXPERTS-STEIRER;T;60;52
4011;PARQUET CLIK ART ;T;50;41
4012;PARQUET BAUCLIC;T;50;41
4013;PARQUET PARADOR;T;50;41
4014;TARIMA MADERA NATURAL;T;50;41
4015;FIBERON ;T;50;41
4016;SCHEUCHER;T;55;45
4017;BALTIC WOOD;T;55;42
4018;TARIMA UNICA;T;50;41
4019;MOSSO BAMBOO;T;50;41
4020;FOREST PANELS;T;50;41
4021;LIBERDEC;T;50;41
4022;MINERAL STRONG VINYL;T;50;41
4023;SKEMA;T;50;41
4024;MY FLOOR;T;50;41
4025;MATERIASPC - PARKAY FLOORS;T;55;45
4026;MEDITERRANEAN WOOD ;T;66;50
4027;MFLOR;T;55;45
4028;ZENON SPC;T;50;41
4029;AGT FLOORING;T;50;41
4030;PROFILPAS (PERFILERIA);T;62;54
4031;PROFILPAS (BRICOLAJE);T;62;54
4032;SCHLÜTER PERFILERIA;T;62;54
4033;PERFILERIA CAINOX;T;62;54
4034;KRONOSWISS - BARIPERFIL;T;60;52
4036;EGGER;T;55;45
4101;FREGADERAS WEDEL/PDP/ICEPOL;T;66,66;52
4102;FREGADERAS ROCA GRES;T;51,5;50
4103;FREGADERAS  ROCA  INOX;T;72,41;52
4104;FREGADERAS SANGRA;T;62,34;52
4105;FREGADERAS TEKA;T;66,66;52
4106;FREGADEROS NAYES;T;66,66;52
4107;FREGADEROS ORPAN;T;66,66;52
4108;FREGADEROS OULIN;T;66,66;55
4110;FREGADEROS ATRON;T;88,67;52
4111;FREGADEROS BLANCO;T;50;43
4112;FREGADEROS RODI;T;66,66;52
4113;DISTFORM;T;50;43
4114;GUTMANN;T;42,9;38
4115;FRECAN;T;52;45
4116;SCHNEIDER;T;100;100
4117;WHIRPOOL;T;35;25
4118;GRUP COBAIN (FALMEC-ELLICI);T;52;45
4119;ELICA;T;52;45
4120;ENCIMERAS;T;35;25
4121;HORNOS;T;35;25
4122;CAMPANAS;T;35;26
4123;SMEG;T;59,64;45
4124;BALAY;T;35;25
4125;BOSCH;T;35;25
4126;SIEMENS;T;35;25
4127;BORA;T;53,85;53,85
4128;NEFF;T;35;25
4129;CALENTADORES/TERMOS;T;55;42
4130;ESTRACTORES S&P;T;80;62
4131;LAVAVAJILLAS TEKA;T;25;25
4132;ACCESORIOS BORA;T;42,86;42,86
4133;OLMAR ;T;45;42
4134;DECA INTEGRAL;T;66,66;53
4135;CAMPANAS THERMEX;T;66,66;52
4136;ORPAN;T;66,66;52
4139;CAMPANAS PANDO.;T;66,66;52
4140;SOBERANA;T;66,66;47
